iter	R2	RMSE
0	0.3791962081	72985.82134
1	0.5085532712	64938.0949
2	0.5697566739	60760.08747
3	0.605846772	58155.91097
4	0.6268182906	56587.62855
5	0.6483481325	54931.03516
6	0.6599498721	54017.28978
7	0.6695410675	53250.05578
8	0.6809693006	52321.18326
9	0.6882422267	51721.36341
10	0.692639792	51355.28455
11	0.6990545825	50816.55113
12	0.7031001246	50473.8377
13	0.7058962056	50235.60455
14	0.7103483845	49853.9182
15	0.7151557702	49438.47118
16	0.7206590947	48958.55456
17	0.7226455344	48784.16777
18	0.725280142	48551.91296
19	0.7284288902	48272.86808
20	0.7324946358	47910.154
21	0.7362598572	47571.78393
22	0.7383783287	47380.34046
23	0.7404173634	47195.34214
24	0.7440418393	46864.69657
25	0.7468431601	46607.5369
26	0.7500993118	46306.82931
27	0.7521856576	46113.12326
28	0.7535938703	45981.91697
29	0.7562553754	45732.91063
30	0.7583846371	45532.7197
31	0.7593790353	45438.92529
32	0.761450643	45242.901
33	0.7636151705	45037.1728
34	0.7664482814	44766.4703
35	0.7682041757	44597.87062
36	0.7691362751	44508.11162
37	0.7715961804	44270.35457
38	0.7741295055	44024.15923
39	0.776275731	43814.50082
