iter	F1	Logloss
0	0.6696615753	0.6895790096
1	0.6941560368	0.6859951194
2	0.6973067916	0.6830941505
3	0.7050318103	0.6802662984
4	0.706185567	0.6773854801
5	0.7069555302	0.6747224302
6	0.7005649718	0.672379278
7	0.7002533071	0.6700746698
8	0.694972067	0.6679514611
9	0.6969442108	0.6654340321
10	0.697372139	0.6635376218
11	0.6999154691	0.6611644563
12	0.6969525959	0.6598515292
13	0.6970720721	0.6578388634
14	0.6990400903	0.6557598749
15	0.6926774102	0.6546537471
16	0.6907857547	0.6531389427
17	0.6887567261	0.6519354931
18	0.6906719592	0.6497825802
19	0.6917847025	0.6478545251
20	0.6915043748	0.6467065187
21	0.6929799831	0.6447680805
22	0.6943502825	0.6434182131
23	0.6938544322	0.6418946464
