iter	Passed	Remaining
0	4	4149
1	8	4039
2	11	3823
3	15	3848
4	19	3861
5	23	3892
6	27	3902
7	31	3923
8	35	3882
9	39	3920
10	43	3924
11	48	3966
12	52	3972
13	56	3981
14	60	3959
15	64	3943
16	67	3914
17	71	3893
18	75	3876
19	79	3880
20	83	3888
21	87	3877
22	90	3859
23	95	3863
24	99	3867
25	102	3856
26	106	3843
27	111	3857
28	115	3853
29	118	3836
30	122	3820
31	125	3802
32	129	3801
33	133	3781
34	136	3771
35	140	3760
36	145	3776
37	148	3769
38	152	3759
39	156	3749
40	160	3759
41	164	3749
42	168	3739
43	171	3730
44	176	3746
45	180	3736
46	183	3727
47	187	3724
48	192	3731
49	196	3737
50	200	3729
51	204	3730
52	209	3735
53	212	3727
54	216	3717
55	220	3714
56	224	3713
57	228	3706
58	231	3698
59	235	3694
60	239	3693
61	243	3686
62	247	3682
63	251	3680
64	255	3673
65	259	3669
66	262	3659
67	266	3653
68	270	3643
69	274	3641
70	277	3632
71	281	3623
72	284	3616
73	288	3610
74	292	3607
75	296	3602
76	300	3596
77	303	3589
78	307	3587
79	311	3583
80	315	3577
81	318	3567
82	323	3569
83	326	3564
84	330	3558
85	334	3550
86	338	3550
87	342	3546
88	345	3541
89	349	3533
90	352	3525
91	356	3522
92	361	3521
93	364	3514
94	368	3508
95	372	3506
96	376	3503
97	380	3497
98	383	3490
99	387	3488
100	391	3488
101	395	3482
102	399	3476
103	403	3474
104	407	3470
105	410	3464
106	414	3459
107	418	3453
108	422	3451
109	425	3446
110	429	3439
111	433	3433
112	439	3449
113	443	3443
114	446	3439
115	451	3444
116	455	3441
117	459	3436
118	463	3430
119	467	3430
120	471	3426
121	475	3421
122	479	3416
123	483	3414
124	487	3411
125	490	3405
126	494	3402
127	498	3397
128	502	3393
129	506	3387
130	510	3385
131	513	3379
132	518	3379
133	521	3373
134	526	3371
135	529	3366
136	534	3366
137	538	3360
138	542	3358
139	545	3353
140	550	3351
141	554	3347
142	557	3343
143	561	3339
144	565	3336
145	569	3332
146	574	3331
147	577	3326
148	581	3320
149	584	3313
150	588	3309
151	592	3303
152	595	3296
153	599	3291
154	602	3284
155	605	3277
156	608	3269
157	612	3262
158	616	3259
159	619	3252
160	622	3244
161	625	3236
162	629	3231
163	633	3229
164	636	3222
165	640	3216
166	643	3209
167	647	3204
168	650	3199
169	653	3192
170	657	3185
171	660	3178
172	664	3177
173	668	3171
174	671	3163
175	674	3156
176	677	3150
177	681	3147
178	684	3140
179	687	3133
180	690	3126
181	694	3121
182	698	3117
183	701	3110
184	704	3103
185	707	3097
186	711	3094
187	715	3089
188	718	3083
189	721	3076
190	724	3070
191	728	3067
192	732	3061
193	735	3054
194	738	3047
195	742	3047
196	747	3045
197	750	3039
198	753	3032
199	756	3027
200	760	3021
201	763	3016
202	766	3010
203	770	3004
204	773	3000
205	777	2995
206	780	2990
207	783	2984
208	787	2978
209	790	2973
210	793	2968
211	797	2963
212	800	2958
213	804	2953
214	807	2948
215	811	2944
216	814	2939
217	818	2934
218	821	2928
219	824	2923
220	828	2919
221	831	2913
222	834	2907
223	837	2902
224	840	2896
225	844	2891
226	847	2886
227	850	2881
228	854	2876
229	857	2870
230	860	2865
231	864	2860
232	867	2855
233	870	2850
234	873	2844
235	877	2840
236	880	2836
237	884	2830
238	887	2824
239	890	2820
240	894	2816
241	897	2811
242	900	2806
243	903	2800
244	907	2796
245	911	2792
246	914	2786
247	917	2781
248	920	2775
249	924	2772
250	927	2767
251	930	2762
252	933	2756
253	936	2751
254	940	2748
255	943	2743
256	947	2738
257	950	2732
258	953	2727
259	957	2725
260	960	2720
261	963	2714
262	967	2710
263	970	2704
264	974	2702
265	977	2697
266	980	2692
267	983	2687
268	987	2683
269	991	2680
270	994	2676
271	997	2670
272	1001	2665
273	1004	2661
274	1008	2657
275	1011	2652
276	1014	2647
277	1017	2642
278	1021	2639
279	1024	2635
280	1028	2630
281	1031	2625
282	1034	2621
283	1038	2618
284	1041	2613
285	1045	2608
286	1048	2603
287	1052	2600
288	1056	2598
289	1059	2593
290	1062	2588
291	1065	2584
292	1069	2579
293	1072	2575
294	1075	2570
295	1078	2565
296	1082	2562
297	1085	2558
298	1089	2554
299	1092	2549
300	1095	2544
301	1098	2539
302	1102	2536
303	1105	2532
304	1109	2528
305	1113	2525
306	1116	2520
307	1120	2517
308	1124	2513
309	1127	2510
310	1130	2505
311	1134	2500
312	1137	2496
313	1140	2492
314	1144	2487
315	1147	2483
316	1150	2479
317	1154	2475
318	1157	2471
319	1160	2466
320	1164	2462
321	1167	2458
322	1171	2454
323	1174	2450
324	1177	2446
325	1181	2441
326	1185	2438
327	1188	2435
328	1191	2430
329	1194	2426
330	1198	2421
331	1202	2418
332	1205	2414
333	1208	2409
334	1211	2405
335	1215	2401
336	1218	2397
337	1221	2393
338	1225	2388
339	1228	2384
340	1231	2380
341	1235	2377
342	1238	2372
343	1241	2368
344	1245	2363
345	1248	2360
346	1252	2357
347	1255	2352
348	1258	2348
349	1262	2343
350	1266	2341
351	1269	2336
352	1272	2332
353	1275	2328
354	1279	2323
355	1283	2321
356	1286	2316
357	1289	2312
358	1292	2308
359	1296	2304
360	1300	2301
361	1303	2296
362	1306	2292
363	1309	2288
364	1313	2284
365	1317	2281
366	1320	2277
367	1323	2272
368	1326	2269
369	1330	2265
370	1334	2261
371	1337	2257
372	1340	2253
373	1343	2249
374	1347	2245
375	1350	2241
376	1353	2237
377	1357	2233
378	1360	2229
379	1364	2225
380	1367	2221
381	1370	2218
382	1374	2214
383	1378	2210
384	1381	2207
385	1385	2203
386	1388	2199
387	1391	2195
388	1394	2191
389	1398	2187
390	1401	2183
391	1405	2179
392	1408	2175
393	1412	2172
394	1415	2168
395	1419	2164
396	1422	2160
397	1425	2156
398	1429	2152
399	1432	2149
400	1436	2145
401	1439	2141
402	1442	2137
403	1446	2133
404	1449	2129
405	1452	2125
406	1456	2121
407	1459	2117
408	1462	2113
409	1466	2109
410	1469	2105
411	1472	2101
412	1475	2097
413	1479	2094
414	1482	2090
415	1485	2085
416	1489	2081
417	1492	2077
418	1495	2074
419	1499	2070
420	1502	2066
421	1505	2062
422	1508	2058
423	1512	2054
424	1515	2050
425	1518	2046
426	1521	2042
427	1525	2038
428	1529	2035
429	1532	2031
430	1535	2027
431	1539	2023
432	1542	2020
433	1546	2016
434	1549	2012
435	1552	2008
436	1555	2004
437	1559	2001
438	1563	1997
439	1566	1993
440	1569	1989
441	1573	1986
442	1577	1983
443	1580	1979
444	1583	1975
445	1586	1971
446	1590	1968
447	1594	1964
448	1597	1960
