Annual Income,Years of Credit History,Maximum Open Credit,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Home Ownership,Years in current job,Tax Liens,Number of Open Accounts,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Credit Default
2331528.0,49.1,710050.0,562430.0,193173.0,26813.0,749.0,1,4,0,15,0,29,0,2,0,0.0
2057673.185846914,20.0,1163008.0,735152.0,633783.0,21002.0,726.3639667528221,2,10,0,14,0,34,0,0,0,0.0
1316567.0,14.5,307252.0,261338.0,135318.0,28087.0,659.0,1,3,0,17,0,13,0,6,1,0.0
1441599.67384469,16.7,975414.0,135146.0,788481.0,26319.0,710.3288242357404,1,10,0,16,0,32,0,10,0,1.0
965295.0,13.3,373406.0,223542.0,122227.0,15525.0,744.0,2,10,0,5,1,43,1,0,0,0.0
1265419.0,15.7,248226.0,133210.0,24871.0,24654.0,724.0,1,10,0,9,0,35,0,1,0,1.0
403598.0,8.8,371910.0,210298.0,168948.0,4776.0,735.0,2,4,0,8,0,37,0,0,0,0.0
1236900.0,29.5,1313620.0,349844.0,882626.0,34427.0,740.0,1,0,0,13,0,34,0,0,1,1.0
853898.0,9.6,357170.0,224708.0,219944.0,5515.0,735.0,1,5,0,5,0,77,0,0,0,0.0
1719310.0,16.8,343244.0,262526.0,168378.0,12293.0,725.0,1,10,0,9,0,32,0,2,1,0.0
1206842.0,14.0,438438.0,343970.0,293075.0,10560.0,706.0,2,7,0,11,0,29,0,0,0,0.0
1284780.0,20.1,308528.0,258720.0,169461.0,27195.0,720.0,1,10,0,12,0,55,0,0,1,0.0
2285896.3666337007,16.0,625922.0,562848.0,480035.0,37093.0,692.372562916898,1,4,0,18,0,76,0,0,1,1.0
491967.0,17.2,212124.0,181500.0,139973.0,5002.0,637.0,0,10,0,6,0,34,0,0,0,1.0
1317897.0,16.2,664752.0,589688.0,493715.0,24601.0,666.0,2,4,0,18,0,34,0,6,1,1.0
2380401.661374556,16.2,2468026.0,400004.0,1157385.0,42990.0,722.2561986777824,1,10,0,21,0,31,0,0,0,1.0
777974.0,13.4,493416.0,189068.0,183236.0,10114.0,746.0,2,1,0,25,0,34,0,0,0,1.0
747308.0,30.0,876744.0,346126.0,426303.0,11708.0,738.0,1,10,0,12,0,48,0,0,0,0.0
1329069.0,27.6,362164.0,263824.0,47538.0,19050.0,704.0,1,4,1,11,2,17,0,9,0,0.0
2272761.0,21.5,178596.0,156288.0,112138.0,27652.0,606.0,0,5,0,12,5,31,0,13,1,0.0
932710.0,22.1,1000472.0,307714.93787261785,565953.0,22307.0,742.0,1,10,0,15,0,33,0,2,0,0.0
946770.0,20.2,171006.0,151294.0,129086.0,21460.0,712.0,1,10,0,7,0,10,0,0,0,1.0
656963.0,6.0,182424.0,108680.0,83505.0,17573.0,703.0,2,2,0,9,0,34,0,11,0,0.0
910746.0,30.0,416196.0,252785.1475289091,155268.0,14724.0,719.0,1,10,0,12,0,78,0,0,1,0.0
6133922.0,13.6,424864.0,152504.0,208050.0,40637.0,740.0,2,9,0,6,0,17,0,2,0,0.0
2131173.0,19.2,1693978.0,785180.0,700777.0,24864.0,718.0,2,2,0,21,0,33,0,0,0,0.0
2151541.0,25.4,2318932.0,370040.98204677895,330448.0,15025.0,745.0,1,10,0,13,0,7,0,0,0,0.0
1199166.0,18.9,472164.0,179146.0,212040.0,19766.0,741.0,1,5,0,15,0,32,0,0,0,1.0
1353009.0,14.4,465454.0,533786.0,334039.0,26271.0,663.0,1,10,0,9,0,56,0,0,1,0.0
613966.0,16.3,96998.0,148632.0,29982.0,6498.0,744.0,1,6,0,5,0,34,0,4,0,0.0
1908550.0,32.5,811646.0,119328.0,621775.0,22744.0,729.0,1,0,0,20,1,39,1,2,0,0.0
1106142.0,16.4,2430758.0,361713.3369654276,1024461.0,21570.0,746.0,2,2,0,17,0,19,0,1,0,0.0
2150686.0,36.9,204028.0,26334.0,143792.0,4875.0,640.0,1,10,0,9,0,83,0,1,0,0.0
963699.0,12.4,111628.0,206008.0,71231.0,8994.0,744.0,2,7,0,11,0,34,0,0,0,1.0
1249706.0,18.8,678942.0,445236.0,361779.0,13330.0,743.0,1,6,0,9,0,34,0,0,0,0.0
739005.0,18.3,2177758.0,456808.0,607487.0,9669.0,732.0,2,2,0,20,0,0,0,0,0,1.0
1145130.0,16.9,384692.0,88396.0,74081.0,3092.0,701.0,2,10,0,14,0,50,0,6,0,0.0
1484280.0,18.9,208384.0,150920.0,130663.0,19667.0,738.0,1,10,0,9,0,41,0,0,0,0.0
853803.0,16.4,749232.0,351516.0,535135.0,16578.0,608.0,1,3,0,14,0,36,0,0,1,0.0
1200895.7805271293,21.6,110682.0,258698.0,93689.0,16427.0,718.4984649640335,2,8,0,7,1,37,0,0,0,1.0
657153.0,15.1,706816.0,104346.0,568328.0,8488.0,736.0,1,10,0,5,0,15,0,0,0,1.0
336661.0,9.7,158202.0,132110.0,51509.0,505.0,723.0,2,2,0,7,0,37,0,0,0,0.0
3953919.0,16.5,864996.0,640068.0,592401.0,52389.0,697.0,1,7,0,16,0,34,0,0,0,0.0
1418319.956120858,17.8,899492.0,313038.0,538346.0,18844.0,695.2314125545921,2,7,0,6,0,36,0,0,1,1.0
712253.0,17.9,165088.0,218472.06474275194,106932.0,8013.0,703.0,2,6,0,5,0,36,0,0,0,0.0
1050624.0,17.0,318142.0,273173.62791514664,111283.0,21013.0,721.0,2,5,0,8,0,21,0,0,0,0.0
1495224.0,17.2,731896.0,649242.0,551817.0,20186.0,729.0,1,6,0,8,0,74,0,0,0,0.0
3444966.0,24.7,1675894.0,775632.0,790248.0,47081.0,735.0,1,10,0,17,0,75,0,0,0,0.0
1059557.6804088173,28.8,1432310.0,258698.0,351310.0,9550.0,736.1025381992227,1,10,0,19,0,33,0,0,0,0.0
1397539.0878593577,27.1,549648.0,292314.0,112024.0,20961.0,734.8610101949102,1,5,0,10,0,32,0,0,0,0.0
1204805.3573357235,17.7,770044.0,133804.0,192204.0,20973.0,731.6933124746495,2,2,0,21,0,10,0,0,0,0.0
1350349.0,15.0,763422.0,241230.0,306584.0,9014.0,721.0,2,10,0,20,0,10,0,0,0,0.0
