CUI	CONCEPT	SNOMED_CODE
C0000765 	Excessive body weight gain,Excessive weight gain	224994002
C0701811 	Poor short-term memory,Poor short-term memory	247592009
C0002170 	Alopecia,Loss of hair	278040002
C0549622 	Sexual Dysfunction,Sexual disorder	231532002
C0027497 	Nausea,Nausea	422587007
C0344232 	Blurred vision,Blurring of visual image	111516008
C0037316 	Sleep Deprivation,Sleep deprivation	130989002
C0424000 	Feeling suicidal,Feeling suicidal	225457007
C0424565 	Cannot sleep at all,Cannot sleep at all	248255005
C1971624 	Loss of appetite,Loss of appetite	79890006
C0558066 	Intrusive thoughts,Intrusive thoughts	225445003
C0557386	Restricted work performance,Restricted work performance	224398005
C0086769 	Panic Attacks,Panic attack	225624000
C0003467 	Anxiety,Anxiety	48694002
C0231403	Severe anxiety,Severe anxiety	80583007
C0233754 	Derealization,Derealization	40806005
C0917801 	Sleeplessness,Insomnia	193462001
C0012833 	Dizziness,Dizziness	404640003
C0010201 	Chronic cough,Chronic cough	68154008
C0043094 	Weight Gain,Weight gain	8943002
C2981158 	Lack of libido,Lack of libido	248096004
C0583237 	Emergency room admission,Emergency room admission	50849002
C0039231 	Tachycardia,Tachycardia	3424008
C0522365 	Severe vertigo,Severe vertigo	103298005
C0424573 	Always sleepy,Always sleepy	248262001
C0560765 	Unable to maintain a position,Unable to maintain a position	282848007
C0042571 	Vertigo,Vertigo	399153001
C0043352 	Xerostomia,Xerostomia	87715008
