id	Text
1	extreme weight gain, short-term memory loss, hair loss.
2	COMPLETELY DESTROYED SEXUALLY FUNCTIONING .
3	Just TWO tablets of Lexapro 10mg completely destroyed my sexual functioning, probably for life.
4	It's called PSSD: post-SSRI sexual dysfunction.
5	And there is a chance that it will give you PSSD, which as the name suggests persists even after you stop taking the drug, Just google 'PSSD' and you'll see what I mean, So please: NEVER take this drug, not even one tablet.
6	Nausea, Blurred Vision, 3 to 5 hours sleep, Suicidal Thoughts.
7	I was unable to sleep, had blurred vision, and felt sick to my stomach.
8	Unable to eat anything significant for the 3 days.
9	While driving to a friends house crazy thoughts kept happening.
10	Would not have been able to work (software developer) if attempting this drug during work week.
11	First 10 days were HORRIBLE, like a looong panic attack with anxiety/nausea.
12	It calmed down when I got some Xanor for three weeks (was still worse than before lexapro though), after that back to lots of anxiety, derealisation, nausea etc, Also couldn't sleep much, woke at 6.30am with horrible anxiety no matter when I fell asleep the day before.
13	My anxiety is worse than before, and I've been getting more and more dizzy by the week .
14	the last three weeks I haven't been able to watch TV since it makes me feel nauseus, and I haven't been outside in two weeks due to the dizziness!
15	The last week or two I've been feeling nausea all day, mostly due to the dizziness, Everyone's different though, and you should probably give it a try, others are having luck.
16	Chronic cough, weight gain, no sexual interest.
17	Emergency Room visit with tachycardia and violent vertigo.
18	That quickly turned into a three week period of sleep.
19	I was unable to hold my body vertical.
20	Slept through life and gained weight.
21	After the third day at that dose I found myself in the ER with vertigo, dizziness, tachycardia, dry mouth, nausea, and a host of other complaints.
22	The vertigo is rendering me unable to function in daily life causing me to lose work.
23	I am seeing a specialist for the vertigo and undergoing testing which now I have been diagnosed with vestibular neurontitis.
24	My vertigo has not responded to conservative treatment thus far.
25	Muscle spasms, muscle twitching, muscle soreness, insomnia, mental confusion, flush, brain zaps.
26	I took Lexapro for 3 days in 10mg doses and had severe side effects immediately.
27	I'm sorry this is more about not taking it than about side effects of taking it.
28	"I was given samples today and took one dose before coming to this site, where I learned that insomnia and decreased libido are serious side effects for many people; these are already major, major issues for me, By now, the first feelings of ""tightness"" in my head, dry mouth, and a little bit of jitters have begun."
29	As a result surely of prior conditions, but I do feel in part because of the drug or its jittery side effects, I've been unable to stop weeping for the past hour.
30	Extreme Weight Gain 30 pounds.
31	Excessive perspiration, Erectile dysfunction.
32	Almost no libido at all, Utterly useless.
33	Took a while to have an effect on mood obviously,but side-effects alarming:sudden migraines which I had had very infrequently before.
34	Very big increase in blood pressure which I had never experienced before.
35	Have your blood pressure checked even if like me, you have never had a problem with it you may be in for a nasty surprise!
36	Heavy sedation, Jaw Clenching, Inability to organism.
37	Very bad side effects.
38	emotionless, Zombie effect.
39	Loss of memory.
40	"When i took lexapro i walked around in a ""zombie"" like state because i would never be happy about anything, but never really sad."
41	I just kind of felt numb toward all emotion, Also, my memory started lacking and i couldnt remember long periods of time or things i had done.
42	i still have difficulty remembering most of that year and for no particular reason.
43	Jaw jacking/clenching teeth, headaches, vomitting, waking up in the middle of the night for hours, increase in anxiety, blurred vision.
44	I started feeling the side effects the fist day i took 10mg.
45	Crazy dreams and visions, slight insomnia, my teeth are killing me from grinding them and I guess that caused my headaches.
46	Can hardly even read and feel like I'm in a fog or that I'm stoned.
47	Clumsy and at first gave me tons of energy but I think that was the increased anxiety.
48	About four hours after my dose it's like I went downhill, my head got very heavy, and that was the foggy state.
49	I haven't noticed any positive changes and the side effects are horrible.
50	The increase in anxiety has made me stop taking this pill.
51	Fatigue, dizziness, apathy, muscle jerks, jaw clenching, interfered with Thyroid replacement medicine, insomnia.
52	I took this for two months, hoping that the side effects would ease.
53	I became more tired, cold and weak after about 6 weeks so I had to discontinue.
54	Insomnia, tension, somnolence, loss of memory, jaw movements.
55	Got fat, hated life.
56	night sweats, major mood swings and moment of over excitement combined with rudeness.
57	head felt completely detached from body and feeling suicidal.
58	Headaches, Nausea, Fatigue, Interrupted Sleep, Vivid Dreams, Weight Gain.
59	if you are an othewise phyically healthy human you may risk compromising the proper functioning of the T-cells which may have UKNOWN consequences, the worst being autoimmunce disease which will make you very sick with flu-like symptoms and unable to get better,please beware.
60	"The risks of such dangerous and hidden physiological side effects are in NO WAY worth the potential positive effects of so-called subjective ""mental stability"" which is merely illusory and masks the hidden danger."
61	Heart burn.
62	I had to take a heart burn relief medication each day I took Lexapro.
63	I had pain all over my body!
64	My legs were the worst and my left leg felt like it was on fire!
65	It hurt so bad, I ended up in the E,R.
66	my arms felt like needles are poking them, Felt like a knife in my shoulder, I got chills easily, felt like my legs were not getting enough circulation, it felt like my blood had carbonation in it!
67	This is the most awful feeling!
68	I am still having aches, pains, pins and needles throughout my entire body after being off of the Lexapro for a few days.
69	Weight gain, HAIR LOSS, increased depression, fatigue, lethargy.
70	I switched from Cymbalta to Lexapro and after approximately 30 days, I began feeling very bad.
71	I gained 13 lbs in 6 weeks and could not get out of bed after 60 days.
72	My hair started falling out by the handful.
73	Reduced cognition, fatigue, addiction.
74	The med was okay until side effects had negative impacts and it was extremely difficult to get off of.
75	From the moment I swallowed this pill I experienced a dry mouth and dry eyes.
76	But more alarming was the sensation of pressure behind my eyes-like they were going to pop out!
77	Also I had a severe inablility to concentrate which made it impossible to do my job,I am a Registered Nurse.
78	I also found myself making a bizarre sucking motion with my mouth-possibly from the dryness?
79	Disturbed sleep, exhaustion, nausea, dizzyness, jaw-clenching and increased anxiety.
80	It's been four days since I discontinued, and I'm still wiped out and dizzy with flu-like symptoms.
81	Everyone is different, but for me Lexapro was like some kind of torture device, Can't wait for it to leave my system.
82	1)  After two to three hours vomit 2)  Stiff muscles (Lack of oxygen?)
83	3)  Spacey, out of sync with time (as in Where did that tree come from?
84	4)  Weird, (as in How did that tree get there?
85	), 5)  Weak muscles 6)  Cant catch breath 7)  Listless 8)  Unmotivated 9)  Difficulty getting moving 10)  Reaction time slowed, [as in Put your hand on your solar plexus (Huh?
86	11)  Forgetful, stupid (its Sunday, right?)
87	12)  Depressed (as in Whats the use?).
88	suidical feelings.
89	I took this medication for a month before I started getting extreme suicidal feelings, which I had not had before taking it.
90	Racing heart, severe anxiety, panic, nausea, speeded-up metabolism.
91	It was brilliant for 2 weeks, except for some queasiness.
92	But into the 3rd week I began to wake in the night with very scary heart palpitations.
93	After a few nights of this (while feeling good during the day), the palpitations and subsequent panic were still there in the morning and continued throughout the day.
94	and I still have occasional heart flutters, a clenched stomach, and the anxiety that goes with that.
95	I also think Lexapro and alcohol were a bad mix for me.
96	jittery, disconnected feelings, suicidal thoughts, unable to function.
97	I took one dose of this med and was lucky to be able to drive home from work.
98	Suicidal thoughts when I had NEVER had those thoughts before, Super scary.
99	Insomnia, irregular heartbeat, anxiety times 1000, suicidal depression.
100	I'm in serious pain right now.
101	I'm about to go to the hospital cause this drug is killing me.
102	vivid nightmares, sweats, higher anxiety levels, memory problems, concentration problems, teeth grinding and clenching of jaws.
103	I was taking 10 mg. After a lifetime of perfect dental checkups and having beautiful teeth, I now have 50 percent bone loss in my jaw because of the teeth grinding.
104	It's signifigant to note that I had been wearing a night guard that was supposed to protect the teeth during this past year.
105	Not worth the side effects.
106	Constant yawning,severe tremors,headache, lost all sex drive the first day, couldn't orgasm if I tried, terrible jaw clenching, helped somewhat with social anxiety, but general anxiety got worse, panic attacks increased,.
107	The sexual side effects were supposed to be countered by the Welly, Didn't happen.
108	I have not had sex for 6 months which is putting a strain on the relationship.
109	dry mouth, severe thirst, hot flashes all over my body, tightness in my chest, severe diahrea, fuzzy mind, freaquent urination, lost 25 pounds in two weeks, muscle aches, flu like symptons, stomach cramps and tiredness.
110	i experienced all these symptoms after just one 10mg pill and still sufering the side effects two weeks later.
111	i have noticed increases in my headaches, the front of my brain burns and i've noticed an increase in suicidal thoughts and anxiety.
112	extreme lethargy; hungry more than usual; weight gain; zero motivation; memory issues (short term memory negatively affected); hopeless; social anxiety magnified.
113	I took 10 mg for one month and mainly noticed the fatigue as the biggest side effect, once I was upped to 20 mg though all of the other side effects seemed to take hold of my life.
114	I didn't take Lexapro long enough to evaluate it for its intended purpose, because I found the sexual side effects intolerable.
115	I not only lost the ability to orgasm, but stopped having even the slightest feelings of arousal.
116	Near the end of the two weeks I could feel my frustration as a sort of dull, heavy ache in my stomach, but I couldn't do anything about it because I was basically numb, a nonsexual being.
117	I've heard great things about what this drug can do for depression, but the side effects are a real possibility.
118	Increased anxiety, SERIOUS constipation (for which even laxatives and epsom salts barely helped) and stomach cramping, my stomach hurt all the time, disturbed sleep and trouble falling asleep, fatigue, headaches.
119	I couldn't get past the side effects- have no idea if it would've worked for me.
120	suicidal thoughts, mood swings, difficulty to concentrate.
121	GAINED ONE POUND A WEEK for six months, Yep, 30 POUNDS.
