gene_pli	score	diseaseid	gene_dsi	protein_class_name	geneid	disease_class	disease_type	uniprotid	disease_class_name	disease_name	el	year_initial	source	ei	gene_dpi	protein_class	year_final	gene_symbol	disease_semantic_type
1.6432e-05	1.0	C0001080	0.391	Kinase	2261	C16;C05	disease	P22607	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Musculoskeletal Diseases	Achondroplasia	definitive	1994	CURATED	0.974	0.846	DTO_03300101	2020	FGFR3	Congenital Abnormality
1.04e-05	0.8	C0000744	0.505	Transporter	4547	C16;C18	disease	P55157	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Nutritional and Metabolic Diseases	Abetalipoproteinemia		1985	CURATED	0.982	0.846	DTO_05007405	2019	MTTP	Disease or Syndrome
0.99731	0.8	C0001193	0.38	Kinase	2263	C16;C05	disease	P21802	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Musculoskeletal Diseases	Apert syndrome		1994	CURATED	0.976	0.808	DTO_03300101	2019	FGFR2	Congenital Abnormality
0.53235	0.7	C0001418	0.236	Transcription factor	7157	C04	group	P04637	   Neoplasms	Adenocarcinoma		1986	CURATED	0.975	0.962	DTO_05007542	2020	TP53	Neoplastic Process
0.84602	0.69	C0001126	0.522	Transporter	6521	C16;C18;C13;C12	phenotype	P02730	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Nutritional and Metabolic Diseases;    Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Renal tubular acidosis		1996	CURATED	1.0	0.731	DTO_05007405	2013	SLC4A1	Disease or Syndrome
0.99597	0.6	C0001418	0.314	Enzyme	5743	C04	group	P35354	   Neoplasms	Adenocarcinoma		1996	CURATED	0.965	0.962	DTO_05007624	2019	PTGS2	Neoplastic Process
0.99722	0.54	C0001126	0.644	Transporter	8671	C16;C18;C13;C12	phenotype	Q9Y6R1	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Nutritional and Metabolic Diseases;    Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Renal tubular acidosis		2000	CURATED	1.0	0.692	DTO_05007405	2011	SLC4A4	Disease or Syndrome
0.53235	0.5	C0001618	0.236	Transcription factor	7157	C04;C19	group	P04637	   Neoplasms;    Endocrine System Diseases	Tumors of Adrenal Cortex		2005	CURATED	1.0	0.962	DTO_05007542	2018	TP53	Neoplastic Process
4.0468e-12	0.45	C0001403	0.516		326	C20;C19	disease	O43918	   Immune System Diseases;    Endocrine System Diseases	Addison Disease	strong	2001	CURATED	1.0	0.808		2017	AIRE	Disease or Syndrome
0.98842	0.43	C0001125	0.581		5160	C18	phenotype	P08559	   Nutritional and Metabolic Diseases	Acidosis, Lactic		1989	CURATED	1.0	0.538		2017	PDHA1	Disease or Syndrome
1.0	0.4	C0000768	0.369		4851	C16	group	P46531	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities	Congenital Abnormality		2005	CURATED	1.0	0.885		2019	NOTCH1	Congenital Abnormality
0.99999	0.4	C0000772	0.303		1499	C16	group	P35222	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities	Multiple congenital anomalies		1991	CURATED	1.0	0.885		2017	CTNNB1	Congenital Abnormality
0.99731	0.4	C0000772	0.38	Kinase	2263	C16	group	P21802	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities	Multiple congenital anomalies		1985	CURATED	1.0	0.808	DTO_03300101	2017	FGFR2	Congenital Abnormality
0.25651	0.4	C0000772	0.305	Enzyme	5728	C16	group	P60484	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities	Multiple congenital anomalies		2001	CURATED	1.0	0.923	DTO_05007624	2015	PTEN	Congenital Abnormality
0.65372	0.4	C0000786	0.385	Kinase	3717	C13	phenotype	O60674	   Female Urogenital Diseases and Pregnancy Complications	Spontaneous abortion		2007	CURATED	1.0	0.885	DTO_03300101	2007	JAK2	Pathologic Function
3.6072e-05	0.4	C0000786	0.539		4256	C13	phenotype	P08493	   Female Urogenital Diseases and Pregnancy Complications	Spontaneous abortion		2008	CURATED	1.0	0.846		2008	MGP	Pathologic Function
0.00056753	0.4	C0001125	0.475	Enzyme modulator	10059	C18	phenotype	O00429	   Nutritional and Metabolic Diseases	Acidosis, Lactic		2007	CURATED	1.0	0.808	DTO_05007584	2007	DNM1L	Disease or Syndrome
	0.4	C0001125	0.534		4567	C18	phenotype		   Nutritional and Metabolic Diseases	Acidosis, Lactic		2006	CURATED	1.0	0.731		2006	TRNL1	Disease or Syndrome
0.002357	0.4	C0001125	0.527	Enzyme	50484	C18	phenotype	Q7LG56	   Nutritional and Metabolic Diseases	Acidosis, Lactic		2009	CURATED	1.0	0.769	DTO_05007624	2009	RRM2B	Disease or Syndrome
